,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
35,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,17ElchRiDVSnGyeiLIzZne,Bacha,Prabh Gill,44,2016-11-03,0.721,0.351,90.053,0.0372,0.761,0,0.667,242667,-2.396,0.704,0,10
36,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,7jpmNt5iCtSdXuT1xEGp8O,Patakha Guddi,Sultana,59,2014-01-22,0.791,0.124,130.941,0.0934,0.25,0,0.814,285186,-5.057,0.902,1,11
37,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,6IaHIJYxIG8xbosaRr25AC,Parshawan,Harnoor,69,2021-06-10,0.44,0.105,90.006,0.061,0.559,0,0.799,168000,-7.422,0.43,0,1
38,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0ydyIEJ02X3kcZ6Bop6sHO,Sohne Lagde,Sidhu Moose Wala,63,2019-07-15,0.716,0.109,84.384,0.145,0.354,0,0.589,209453,-5.651,0.327,0,2
39,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,78,2018-09-28,0.178,0.623,93.982,0.0574,0.607,0,0.795,181613,-11.991,0.608,1,0
40,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,7qLwVPPFQPWkct7mcimGGs,Jaan Deyan Ge,Ammy Virk,44,2020-01-20,0.547,0.28,86.497,0.03,0.779,0,0.552,228522,-4.899,0.625,0,5
41,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,2PcGqmKToUz0s65q1Acg7d,SPACESHIP,AP Dhillon,72,2021-11-21,0.683,0.134,160.088,0.0968,0.076,0.000113,0.69,124499,-7.186,0.549,0,5
42,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0yCWDaAgOtg6TKlNCg9rwA,Tu Aake Dekhle,King,79,2020-09-21,0.84,0.145,96.012,0.107,0.515,0.00452,0.77,270000,-4.022,0.192,1,11
43,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0h0gWburhWxIhV9h7kyX3l,Jogi,Swastik The Band,41,2018-08-05,0.648,0.069,80.03,0.0557,0.276,9.72e-05,0.55,376855,-6.5,0.352,0,2
44,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,1CA0MnS4RnCgZUOkINTABC,Akhiyan,Amber Vashisht,40,2018-09-20,0.676,0.0575,115.983,0.0276,0.526,0,0.672,243009,-4.453,0.43,1,6
45,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,2cPUB8EOT6AfJ8oxhyoNXL,Ye Tune Kya Kiya,Pritam,67,2013-07-22,0.798,0.111,91.96,0.0699,0.58,0,0.578,314240,-6.01,0.728,1,7
46,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0BS99JhjvDbC2lpiMwsaxh,Haaye ve,Ammy Virk,52,2019-12-16,0.589,0.104,118.177,0.0314,0.186,0,0.569,215593,-5.811,0.367,1,0
